iter	Logloss
0	0.5558004566
1	0.4370632688
2	0.3581594626
3	0.2948948521
4	0.250386082
5	0.2178828331
6	0.190419274
7	0.1707633746
8	0.1528813763
9	0.142645724
10	0.1332208495
11	0.1251841648
12	0.1197175617
13	0.1101387619
14	0.1060762094
15	0.101717716
16	0.09426065703
17	0.0918097859
18	0.08848300866
19	0.0855035104
20	0.08340445671
21	0.0821981162
22	0.07992164195
23	0.07575806054
24	0.07402506842
25	0.07299814822
26	0.07013613486
27	0.06920128082
28	0.06769318193
29	0.06689918314
30	0.06584526272
31	0.06425639232
32	0.06286891295
33	0.06188817094
34	0.05851597757
35	0.05817926204
36	0.05731524094
37	0.05661329221
38	0.05573485928
39	0.05461852415
40	0.054231713
41	0.05241037261
42	0.05219014973
43	0.05196074031
44	0.0511065897
45	0.05069933164
46	0.05055239169
47	0.04946394434
48	0.0483919655
49	0.04769858835
50	0.04704093296
51	0.04692005209
52	0.04569066351
53	0.0454122213
54	0.04504794347
55	0.04494639795
56	0.04448570415
57	0.04402127281
58	0.04319134863
59	0.04310820182
60	0.04301520594
61	0.04293741393
62	0.04282216367
63	0.0427448301
64	0.04267709394
65	0.04260598191
66	0.04253033001
67	0.04245558589
68	0.04239078617
69	0.042324367
70	0.04226245318
71	0.04220542114
72	0.04213198352
73	0.04206436989
74	0.04139443402
75	0.04133289287
76	0.04127633901
77	0.04122168993
78	0.04116654735
79	0.04111890195
80	0.04107140412
81	0.04101609406
82	0.04097466025
83	0.04067643704
84	0.04062711128
85	0.04057568841
86	0.04053859923
87	0.0404939257
88	0.04043555526
89	0.04008921934
90	0.04003228389
91	0.03947876381
92	0.03943809669
93	0.0393988131
94	0.03935668204
95	0.03930508908
96	0.03926846716
97	0.03923251069
98	0.0391915694
99	0.03909643813
100	0.03905751764
101	0.03901545764
102	0.03894336423
103	0.038237134
104	0.03819742729
105	0.03810634056
106	0.03807420747
107	0.03803600334
108	0.03800500247
109	0.03796196097
110	0.03698117836
111	0.03687932961
112	0.03683808844
113	0.03679193388
114	0.03672404675
115	0.0366949198
116	0.03616304984
117	0.0361195822
118	0.03609261909
119	0.03606613546
120	0.0347886082
121	0.034762263
122	0.03359785087
123	0.03356475305
124	0.03351693655
125	0.03343421809
126	0.03298026376
127	0.03287978004
128	0.03285112716
129	0.03192424442
130	0.03189191715
131	0.03185132139
132	0.03172138269
133	0.03168321886
134	0.03165820845
135	0.03163242792
136	0.03160673478
137	0.0314906509
138	0.03146552369
139	0.03144395229
140	0.03140356136
141	0.03138126656
142	0.03087416993
143	0.03085148287
144	0.03083017022
145	0.03081161548
146	0.03079086959
147	0.03076315019
148	0.03069580937
149	0.03067686341
150	0.03065873607
151	0.0306238485
152	0.03019713605
153	0.03006862031
154	0.03003049574
155	0.02987139144
156	0.02985514412
157	0.02983583756
158	0.02952219559
159	0.02950388419
160	0.0294164839
161	0.02938602356
162	0.02926808144
163	0.02925245383
164	0.02922240532
165	0.02919274493
166	0.02914700916
167	0.02860811896
168	0.02859085114
169	0.02849514425
170	0.02848034902
171	0.0284565536
172	0.02835549978
173	0.02832732384
174	0.0283130814
175	0.02829981405
176	0.02776311159
177	0.02774994068
178	0.02766113356
179	0.02711490984
180	0.02708548738
181	0.02706972315
182	0.02701083533
183	0.02699736626
184	0.02693628205
185	0.0269233179
186	0.026716285
187	0.02670068349
188	0.02668769222
189	0.02665475437
190	0.02649537624
191	0.02648375017
192	0.02647151045
193	0.02642574674
194	0.02640916626
195	0.02639824457
196	0.02636652657
197	0.02635579363
198	0.0259262811
199	0.0259150805
200	0.02590469452
201	0.02582885432
202	0.02581116531
203	0.02579994391
204	0.02579010269
205	0.02574953345
206	0.02573930098
207	0.02573022295
208	0.02566147338
209	0.02564501309
210	0.02548191147
211	0.02547288651
212	0.02546390211
213	0.02544576734
214	0.02543116706
215	0.0254224549
216	0.02538853412
217	0.02537922117
218	0.02491950401
219	0.02489018718
220	0.02483884051
221	0.0248301419
222	0.02481723123
223	0.02465294908
224	0.02463472861
225	0.02432580819
226	0.02430726084
227	0.0243072862
228	0.02430734649
229	0.02424638096
230	0.02423959303
231	0.02423236203
232	0.02422461288
233	0.02421087739
234	0.02420479145
235	0.02419550714
236	0.02416151516
237	0.02415414308
238	0.02414741884
239	0.02383062433
240	0.0238240951
241	0.02380764587
242	0.0238017768
243	0.02349277793
244	0.02344684092
245	0.02344366194
246	0.02343720953
247	0.02342908192
248	0.02341372727
249	0.02340663603
250	0.02340170814
251	0.02336654048
252	0.02335962188
253	0.02335383357
254	0.02313055613
255	0.02310512163
256	0.02309826921
257	0.02309145616
258	0.02297036869
259	0.02296457441
260	0.02295828316
261	0.02294716905
262	0.02294082418
263	0.02277648303
264	0.02277085254
265	0.0227627963
266	0.02274084379
267	0.02266144883
268	0.02265571505
269	0.02265133954
270	0.02264147237
271	0.02263646389
272	0.02254648775
273	0.02254138237
274	0.02253603205
275	0.02252670242
276	0.02251650707
277	0.02251177232
278	0.02226567399
279	0.02196970733
280	0.02197014011
281	0.02196174699
282	0.0219518797
283	0.02178528925
284	0.0217803417
285	0.02176906006
286	0.02176903269
287	0.02176903499
288	0.021769029
289	0.02176907852
290	0.02176907197
291	0.02172443716
292	0.02172458365
293	0.0217201652
294	0.0217176387
295	0.02170915991
296	0.02170496634
297	0.02170261135
298	0.02164982186
299	0.02164581783
